"Timestamp","TZ","WD_AV (deg)","WS_AV (m/s)","WS_MX (m/s)","WS_IMX_WD (deg)","Bar_AV (hpa)","Bar_MX (hpa)","Bar_MN (hpa)","Hum_AV (%)","Hum_MX (%)","Hum_MN (%)","Temp_AV (degC)","Temp_MX (degC)","Temp_MN (degC)","Status","VEXT (V)"
2025/09/01 00:10:00.426,n,99.599976,2.089917,2.74,114,998.7548,998.8,998.7,70.885344,73.3,68.3,27.890658,28.2,27.5,0,11.486222
2025/09/01 00:20:00.425,n,109.52976,1.901919,2.85,101,998.694,998.8,998.6,71.150672,72.6,70.2,27.740544,27.9,27.5,0,11.486222
2025/09/01 00:30:00.423,n,93.102456,1.523684,2.51,95,998.70928,998.8,998.7,71.752528,72.6,70.5,27.658262,27.9,27.5,0,11.191704
2025/09/01 00:40:00.427,n,95.44932,1.417716,2.16,101,998.64344,998.7,998.6,72.014088,72.9,71,27.512904,27.6,27.4,0,11.633482
2025/09/01 00:50:00.431,n,123.5118,1.748866,2.25,102,998.59768,998.6,998.5,70.44884,72,69.7,27.739346,27.9,27.5,0,11.486222
2025/09/01 01:00:00.427,n,122.22354,1.669115,2.12,126,998.59928,998.6,998.6,70.55476,71.3,69.9,27.723034,27.8,27.7,0,11.486222
2025/09/01 01:10:00.426,n,110.4921,2.041866,2.6,115,998.64648,998.7,998.6,70.326448,71.9,69,27.619426,27.8,27.4,0,11.486222
2025/09/01 01:20:00.428,n,119.40032,1.494467,2.01,119,998.698,998.8,998.7,69.343504,70.5,68.8,27.785388,27.9,27.6,0,11.338964
2025/09/01 01:30:00.430,n,126.66042,1.0489,1.59,152,998.6824,998.7,998.6,69.180952,69.5,68.7,27.932158,28,27.8,0,11.486222
2025/09/01 01:40:00.427,n,145.98152,1.535883,2.3,145,998.60096,998.7,998.6,70.105488,70.7,69.5,27.785926,27.9,27.7,0,11.486222
2025/09/01 01:50:00.428,n,158.72908,2.160216,3.53,163,998.60024,998.7,998.6,71.913368,73.8,70.7,27.556866,27.7,27.3,0,11.486222
2025/09/01 02:00:00.423,n,168.84042,2.89265,3.56,156,998.6608,998.7,998.6,73.751288,74.8,72.9,27.266326,27.4,27.2,0,11.486222
2025/09/01 02:10:00.426,n,175.1218,3.982732,5.11,177,998.53312,998.6,998.4,74.294752,75.5,73.5,27.193758,27.3,27.1,0,11.486222
2025/09/01 02:20:00.430,n,171.41906,3.251801,4.56,169,998.5004,998.6,998.4,77.26316,79.4,75.3,26.900856,27.1,26.6,0,11.486222
2025/09/01 02:30:00.432,n,162.6935,3.037134,4.03,159,998.59064,998.7,998.5,81.896752,83.5,79.4,26.290246,26.7,26.1,0,11.486222
2025/09/01 02:40:00.438,n,174.07968,2.779752,4.22,172,998.6008,998.7,998.6,83.102656,83.7,82.5,26.149742,26.3,26.1,0,11.486222
2025/09/01 02:50:00.426,n,196.06706,2.442883,3.36,195,998.63664,998.7,998.6,83.358368,84,82.9,26.206096,26.3,26.1,0,11.486222
2025/09/01 03:00:00.427,n,187.00228,2.871167,3.69,193,998.62864,998.7,998.6,82.427472,83.5,82,26.386446,26.5,26.2,0,11.486222
2025/09/01 03:10:00.423,n,167.28524,2.828715,3.34,172,998.60232,998.7,998.5,82.72156,83.2,82.4,26.324708,26.5,26.2,0,11.486222
2025/09/01 03:20:00.423,n,187.08878,2.353149,3.6,191,998.7012,998.8,998.6,83.203992,84.2,82.5,26.325724,26.4,26.2,0,11.486222
2025/09/01 03:30:00.428,n,191.39274,2.154849,3.28,189,998.80216,998.8,998.7,83.910256,84.5,83.5,26.305714,26.4,26.3,0,11.486222
2025/09/01 03:40:00.425,n,175.86858,1.375685,2.32,168,998.81176,998.9,998.8,84.36872,85.1,83.9,26.27662,26.3,26.2,0,11.486222
2025/09/01 03:50:00.432,n,167.19926,1.721683,2.16,165,998.94768,999,998.8,83.798784,84.3,83.5,26.363482,26.4,26.2,0,11.486222
2025/09/01 04:00:00.433,n,162.70472,1.898251,2.27,161,999.06176,999.1,999,84.282344,85,83.7,26.344994,26.4,26.3,0,11.486222
2025/09/01 04:10:00.436,n,162.03724,2.342967,2.8,158,999.14272,999.2,999.1,83.614608,84.5,83,26.427662,26.5,26.3,0,11.191704
2025/09/01 04:20:00.438,n,168.94274,2.877083,3.27,168,999.21824,999.4,999.2,83.757216,84.8,83.2,26.423392,26.5,26.3,0,11.486222
2025/09/01 04:30:00.427,n,178.18734,2.781417,3.34,180,999.4144,999.6,999.3,83.850944,84.7,82.4,26.435722,26.5,26.4,0,11.486222
2025/09/01 04:40:00.426,n,181.49514,1.965517,2.74,188,999.55912,999.7,999.5,84.60784,85.4,83.9,26.406696,26.5,26.3,0,11.486222
2025/09/01 04:50:00.425,n,174.93712,2.189566,2.81,171,999.61616,999.7,999.6,84.475296,85.4,80.5,26.354186,26.5,26.3,0,11.191704
2025/09/01 05:00:00.424,n,170.34196,2.623299,3.07,178,999.75648,999.9,999.7,85.6208,86.2,85.1,26.231956,26.3,26.1,0,11.338964
2025/09/01 05:10:00.427,n,172.5127,3.43475,4.22,176,999.8872,1000,999.8,84.850368,86.5,82.8,26.279246,26.5,26.1,0,11.338964
2025/09/01 05:20:00.427,n,168.85958,3.842934,4.35,169,999.99752,1000,999.9,85.119312,86.2,83.9,26.209546,26.4,26.1,0,11.486222
2025/09/01 05:30:00.426,n,167.88966,3.664617,4.46,170,1000.0722,1000.1,1000,86.168312,86.6,85.7,26.09568,26.1,26,0,11.486222
2025/09/01 05:40:00.426,n,171.7303,3.829483,4.65,180,1000.1848,1000.3,1000.1,83.491536,86.2,79.6,26.422758,26.7,26.1,0,11.486222
2025/09/01 05:50:00.427,n,160.05648,3.334417,4.27,160,1000.303,1000.4,1000.2,82.877168,84.9,80.1,26.53581,26.8,26.3,0,11.486222
2025/09/01 06:00:00.428,n,141.44282,2.927133,3.75,165,1000.3732,1000.4,1000.3,84.03,84.7,83.3,26.315722,26.4,26.2,0,11.486222
2025/09/01 06:10:00.427,n,122.22478,2.574299,4.28,127,1000.4516,1000.5,1000.4,84.239528,86.3,83.2,26.334056,26.4,26.1,0,11.486222
2025/09/01 06:20:00.427,n,127.72126,2.750399,4.9,130,1000.4952,1000.6,1000.4,85.892176,87.2,84,26.022594,26.2,25.8,0,11.486222
2025/09/01 06:30:00.427,n,142.93496,3.553751,4.55,130,1000.5508,1000.7,1000.5,84.684848,85.6,83.7,26.200216,26.3,26,0,11.486222
2025/09/01 06:40:00.425,n,139.2802,3.312284,4.4,132,1000.6768,1000.8,1000.6,84.682648,86.2,82.7,26.30289,26.6,26.1,0,11.486222
2025/09/01 06:50:00.427,n,125.25536,3.250283,4.15,120,1000.7956,1000.8,1000.7,84.565544,85.3,83.3,26.385272,26.5,26.3,0,11.486222
2025/09/01 07:00:00.430,n,121.40366,3.021667,4.49,126,1000.7338,1000.8,1000.6,84.4634,85.2,83.5,26.447484,26.5,26.3,0,11.486222
2025/09/01 07:10:00.434,n,109.91936,2.66205,4.27,102,1000.642,1000.7,1000.5,85.3536,85.7,84.8,26.415616,26.5,26.4,0,11.633482
2025/09/01 07:20:00.426,n,113.13974,2.5868,4.09,99,1000.5566,1000.6,1000.5,84.32564,85.8,83.3,26.679176,26.9,26.4,0,11.633482
2025/09/01 07:30:00.429,n,119.80646,2.914632,4.5,138,1000.514,1000.6,1000.5,83.080848,84.1,81.6,27.01807,27.2,26.8,0,11.633482
2025/09/01 07:40:00.427,n,123.37876,3.025733,4.23,112,1000.5904,1000.6,1000.5,81.727784,82.7,80.4,27.329554,27.5,27.2,0,11.633482
2025/09/01 07:50:00.426,n,128.49846,2.998601,4.45,138,1000.6058,1000.7,1000.6,79.960144,82,76.8,27.63388,27.9,27.4,0,11.633482
2025/09/01 08:00:00.426,n,114.776,2.473483,3.61,114,1000.6176,1000.7,1000.6,76.552664,78.5,72.8,28.143656,28.6,27.8,0,12.36978
2025/09/01 08:10:00.426,n,108.60046,1.830701,3.24,162,1000.7214,1000.8,1000.6,73.566336,76.1,71.4,28.593644,29,28.2,0,12.36978
2025/09/01 08:20:00.426,n,106.07462,2.232834,3.84,136,1000.696,1000.8,1000.6,73.155976,74.4,72.3,28.62308,28.8,28.5,0,12.517038
2025/09/01 08:30:00.430,n,124.84418,1.786916,3.28,106,1000.7542,1000.8,1000.7,71.78404,73.3,69.8,29.025672,29.5,28.6,0,12.517038
2025/09/01 08:40:00.436,n,127.63952,1.418667,3.45,163,1000.7404,1000.9,1000.7,70.81612,72.3,68.6,29.193942,29.7,28.9,0,12.664298
2025/09/01 08:50:00.435,n,155.22958,1.94025,4.05,171,1000.876,1000.9,1000.8,69.616984,70.8,68.2,29.462832,29.7,29.3,0,12.517038
2025/09/01 09:00:00.440,n,147.88272,2.171652,4.25,115,1000.9032,1001,1000.9,67.392688,70.1,65.5,29.658838,29.9,29.3,0,12.07526
2025/09/01 09:10:00.426,n,159.71398,1.9609,3.7,168,1000.9298,1001,1000.9,66.033876,67.4,64.9,29.94442,30.2,29.7,0,12.22252
2025/09/01 09:20:00.427,n,161.68814,1.493816,4.87,174,1000.903,1001,1000.8,64.586716,66.9,62.3,30.258872,30.8,29.8,0,12.07526
2025/09/01 09:30:00.425,n,307.97596,3.119051,4.55,320,1000.8552,1000.9,1000.8,69.88008,74.2,62.2,29.710744,30.8,29,0,12.22252
2025/09/01 09:40:00.426,n,324.61318,2.55185,3.87,319,1000.8228,1000.9,1000.8,71.995296,74.9,70.6,29.04804,29.1,28.9,0,12.07526
2025/09/01 09:50:00.429,n,332.04788,2.016465,2.81,329,1000.8104,1000.9,1000.8,71.71772,73.8,70.5,29.063228,29.2,29,0,11.633482
2025/09/01 10:00:00.427,n,344.7298,1.907816,2.72,352,1000.7062,1000.8,1000.6,70.363496,71.9,69.2,29.294788,29.4,29.2,0,12.07526
2025/09/01 10:10:00.429,n,339.67432,2.226682,2.91,330,1000.6004,1000.7,1000.5,70.368016,73.2,68.1,29.39731,29.5,29.3,0,12.811556
2025/09/01 10:20:00.432,n,336.36668,2.392001,3.08,341,1000.6084,1000.7,1000.5,70.60664,74.1,68,29.365918,29.5,29.3,0,12.07526
2025/09/01 10:30:00.433,n,323.08194,2.434117,3.28,296,1000.5088,1000.6,1000.4,69.642304,71.9,67.2,29.63183,29.8,29.4,0,12.36978
2025/09/01 10:40:00.427,n,323.1238,2.2591,3.28,327,1000.4108,1000.5,1000.3,68.03668,71,65.4,29.827076,30,29.5,0,12.22252
